MasterID,Mag,Magerr,RA,Dec,MJD,Blend
1126001058284,16.03,0.07, 3.09777,27.73092,54119.08883,0
1126001058284,16.04,0.07, 3.09770,27.73096,54119.09482,0
1126001058284,16.10,0.06, 3.09789,27.73096,54266.41308,0
1126001058284,16.07,0.06, 3.09776,27.73096,54266.42115,0
1126001058284,16.08,0.06, 3.09786,27.73096,54266.42923,0
1126001058284,16.03,0.06, 3.09773,27.73093,54266.43729,0
1126001058284,16.01,0.07, 3.09764,27.73097,54405.20857,0
1126001058284,16.01,0.07, 3.09768,27.73100,54405.21574,0
1126001058284,15.96,0.07, 3.09756,27.73091,54405.22227,0
1126001058284,15.98,0.07, 3.09767,27.73095,54405.22878,0
1126001058284,16.42,0.07, 3.09772,27.73099,54417.21443,0
1126001058284,16.00,0.07, 3.09770,27.73098,54423.06453,0
1126001058284,15.98,0.07, 3.09767,27.73096,54423.07444,0
1126001058284,16.00,0.07, 3.09772,27.73103,54423.08427,0
1126001058284,16.02,0.07, 3.09768,27.73095,54423.09408,0
1126001058284,16.01,0.07, 3.09773,27.73097,54382.20932,0
1126001058284,16.01,0.07, 3.09764,27.73096,54382.21778,0
1126001058284,15.98,0.07, 3.09765,27.73094,54382.22625,0
1126001058284,15.97,0.07, 3.09767,27.73096,54382.23470,0
1126001058284,16.07,0.07, 3.09774,27.73103,54394.18441,0
1126001058284,16.00,0.07, 3.09770,27.73097,54394.19523,0
1126001058284,15.97,0.07, 3.09768,27.73099,54394.20604,0
1126001058284,16.01,0.07, 3.09763,27.73102,54394.21685,0
1126001058284,15.97,0.07, 3.09774,27.73096,54358.23661,0
1126001058284,15.96,0.07, 3.09767,27.73092,54358.24315,0
1126001058284,15.99,0.07, 3.09773,27.73093,54358.24970,0
1126001058284,16.00,0.07, 3.09767,27.73096,54358.25628,0
1126001058284,16.02,0.07, 3.09787,27.73095,54625.43308,0
1126001058284,16.02,0.07, 3.09783,27.73098,54625.43970,0
1126001058284,15.99,0.07, 3.09765,27.73100,54625.44630,0
1126001058284,16.02,0.07, 3.09784,27.73099,54625.45298,0
1126001058284,16.05,0.07, 3.09764,27.73104,54791.28887,0
1126001058284,16.02,0.07, 3.09759,27.73094,54791.29617,0
1126001058284,16.03,0.07, 3.09760,27.73101,54791.30334,0
1126001058284,15.98,0.07, 3.09766,27.73094,54791.31063,0
1126001058284,15.98,0.07, 3.09769,27.73088,54746.18721,0
1126001058284,15.99,0.07, 3.09778,27.73094,54746.19393,0
1126001058284,16.06,0.07, 3.09786,27.73108,54746.20063,0
1126001058284,16.04,0.07, 3.09779,27.73092,54746.20734,0
1126001058284,15.98,0.06, 3.09773,27.73095,54764.22290,0
1126001058284,15.98,0.07, 3.09773,27.73094,54764.23450,0
1126001058284,16.02,0.07, 3.09781,27.73092,54764.24589,0
1126001058284,16.01,0.07, 3.09777,27.73098,54764.25753,0
1126001058284,16.03,0.07, 3.09766,27.73091,54770.26418,0
1126001058284,16.01,0.07, 3.09768,27.73096,54770.27026,0
1126001058284,16.00,0.07, 3.09762,27.73090,54770.27627,0
1126001058284,16.06,0.07, 3.09765,27.73107,54770.28236,0
